Date,Liturgical Color,Observance,MP Opening Sentence of Scripture,Antiphon,MP First Lesson,MP Second Lesson,"Psalms (MP, 60-day)",EP Opening Sentence of Scripture,EP First Lesson,EP Second Lesson,"Psalms (EP, 60-day)",Seasonal Collect,Special Collect,Seasonal Blessing,Remembrance
Jan 21,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 21 † 1-21,John 10:22-end,"52, 53, 54","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 20,1 Cor 4:18—5 end,55,"Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Almighty and everlasting God, who chooses those whom the world deems powerless to put the powerful to shame, grant us so to cherish the memory of your youthful martyrs Agnes and Cecilia, that we might share their pure and steadfast faith in you; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 22,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 22,John 11:1-44,"56, 57","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 21,1 Cor 6,"58, 60","Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Almighty God, whose deacon Vincent, upheld by you, was not terrified by threats nor overcome by torments: Strengthen us to endure all adversity with invincible and steadfast faith; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 23,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 23,John 11:45-end,59,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 22,1 Cor 7,"63, 64","Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Everlasting God, who implants your living Word in the minds and on the lips of all who proclaim your truth: Grant that we, like your pastor and preacher Phillips Brooks, might proclaim your Gospel in our own generation with grace and power. Through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, ever one God, now and for ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 24,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 24 † 1-28,53-58",John 12:1-19,"61, 62","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3","Jer 23 † 1-9,16-18,21-40",1 Cor 8,"65, 67","Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Almighty God, who pours out your Spirit upon your sons and daughters: Grant that we, following the example of your servant Florence Li Tim-Oi, chosen priest in your church, may with faithfulness, patience, and tenacity proclaim your holy gospel to all the nations, through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, in glory everlasting. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 25,White,3rd Sunday in Epiphany / Conversion of Paul,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Acts 9:1-22,John 12:20-end,68:1-18,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 24,1 Cor 9,68:19-36,"Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","O God, by the preaching of your apostle Paul you have caused the light of the Gospel to shine throughout the world: Grant, we pray, that having his wonderful conversion in remembrance, we may show ourselves thankful to you by following his holy teaching; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",Apostle Paul
Jan 26,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 25 † 7-11,19-34",John 13,69:1-18v,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3","Jer 25 † 1-19,26-31",1 Cor 10,69:19-37v,"Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 27,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 26 † 1-25,John 14:1-14,66,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 26,1 Cor 11,"70, 72","Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","O God, who gave your servant John Chrysostom grace eloquently to proclaim your righteousness in the great congregation, and fearlessly to bear reproach for the honor of your Name: mercifully grant to all who proclaim your word such excellence in preaching, that all your people may be made partakers of the glory that shall be revealed; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",John Chrysostom
Jan 28,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 27 † 1-13,18-36,39-40",John 14:15-end,71,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 27,1 Cor 12,73,"Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","Almighty God, who has enriched your church with the singular learning and holiness of your servant Thomas Aquinas: Enlighten us more and more, we pray, by the disciplined thinking and teaching of Christian scholars, and deepen our devotion by the example of saintly lives; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",Thomas Aquinas
Jan 29,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 28,John 15:1-17,74,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 28,1 Cor 13,77,"Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","Almighty God, who called your daughter Lili‘uokalani to an earthly throne that she might advance your heavenly kingdom, and endowed her with gift of song and love for her people: Grant that we may imitate her perseverance in adversity, her commitment to peace, and her capacity for forgiveness. All this we ask in the name of your Son Jesus Christ, who liveth and reigneth with thee and the Holy Ghost, one God, for ever and ever. Amen.

We also thank you for your servant Lesslie Newbigin. Amen","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",Lili‘uokalani / Lesslie Newbigin
Jan 30,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 29 † 1-28,John 15:18-end,"75, 76","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3","Jer 29 † 1-14,24-32",1 Cor 14:1-19,"79, 82","Give us grace, O Lord, to answer readily the call of our Savior Jesus Christ and proclaim to all people the Good News of his salvation, that we and the whole world may perceive the glory of his marvelous works; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
